REFSIGPAC,IDUSO25,SUPERFICIE_m2,mean_result,n_cells
2320100048001,TA,8264.99,0.0,14
2320100052001,TA,5417.38,0.0,9
2320100052006,TA,5512.22,0.0,10
2320100059001,TA,3685.14,0.0,5
2320100063001,TA,2358.89,0.0,4
2320100064001,TA,2106.54,0.0,3
2320100067001,TA,3034.92,0.0,3
2320100070001,TA,3151.67,0.0,5
2320100071002,TA,2201.65,0.0,3
2320100079001,TA,1268.57,0.0,3
2320100082001,TA,353.22,0.0,1
2320100093001,TA,490.51,0.0,2
2320100101001,TA,732.46,0.0,1
2320100102001,TA,4202.84,0.0,7
2320100103001,TA,1820.46,0.0,3
2320100105001,TA,16187.6,0.0,25
2320100110001,TA,1985.61,0.0,3
2320100111001,TA,2607.11,0.0,6
2320100113001,TA,1477.16,0.0,2
2320100115001,TA,893.71,0.0,2
2320100116001,TA,799.5,0.0,1
2320100118001,TA,1894.74,0.0,4
2320100121001,TA,5104.01,0.0,8
2320100122001,TA,3988.69,0.0,8
2320100123001,TA,3622.3,0.0,6
2320100124001,TA,7284.8,0.0,11
2320100125001,TA,2117.73,0.0,3
2320100127001,TA,1999.88,0.0,3
2320100128001,TA,1212.67,0.0,2
2320100129001,TA,5471.01,0.0,7
2320100130001,TA,2155.35,0.0,4
2320100133001,TA,1814.13,0.0,2
2320100134001,TA,4881.62,0.0,7
2320100137001,TA,1134.68,0.0,2
2320100138001,TA,1246.49,0.0,1
2320100139001,TA,1310.35,0.0,2
2320100140001,TA,2174.12,0.0,4
2320100144001,TA,4908.5,0.0,8
2320100145001,TA,2548.77,0.0,4
2320100146001,TA,3126.68,0.0,5
2320100147001,TA,2231.55,0.0,4
2320100150001,TA,1990.76,0.0,2
2320100152001,TA,6917.72,0.0,10
2320100153001,TA,6544.89,0.0,10
2320100154001,TA,8205.41,0.0,14
2320100155001,TA,8388.12,0.0,15
2320100156001,TA,9266.01,0.0,13
2320100157001,TA,1093.51,0.0,2
2320100158001,TA,3168.04,0.0,6
2320100161001,TA,2659.5,0.0,4
2320100162001,TA,2620.56,0.0,4
2320100163001,TA,9927.09,0.0,16
2320100164001,TA,2541.6,0.0,3
2320100165001,TA,2629.78,0.0,5
2320100166001,TA,1172.16,0.0,1
2320100170001,TA,2382.42,0.0,5
2320100171001,TA,2041.15,0.0,3
2320100172001,TA,4519.14,0.0,7
2320100172004,TA,1278.49,0.0,1
2320100173001,TA,2212.19,0.0,5
2320100174001,TA,1713.65,0.0,2
2320100175001,TA,2298.15,0.0,3
2320100178003,TA,532.84,0.0,2
2320100178005,TA,208.36,0.0,1
