sample_id,row,col,x,y,elevation,slope_pct,dist_water_m,dist_urban_m,dist_protected_m,nvz,SI_true,SI_obs,block_x,block_y,block_id,split
1,277,505,608325.0,4662450.0,334.8880310058594,0.28997018933296204,175.0,336.3406066894531,1068.00048828125,1,56.57429504394531,47.75878143310547,304,2331,304_2331,train
2,380,501,608225.0,4659875.0,347.72003173828125,8.272714614868164,2135.708251953125,564.0256958007812,2975.9453125,0,83.45457458496094,83.50377655029297,304,2329,304_2329,train
3,308,508,608400.0,4661675.0,347.90802001953125,3.995361804962158,934.0770874023438,353.55340576171875,1538.058837890625,0,84.68695068359375,82.12577819824219,304,2330,304_2330,train
4,313,412,606000.0,4661550.0,349.4980163574219,2.3409643173217773,35.35533905029297,246.22145080566406,1269.3502197265625,0,60.57542419433594,58.8749885559082,303,2330,303_2330,train
5,396,404,605800.0,4659475.0,371.9560241699219,5.495234966278076,1668.8319091796875,467.0385437011719,2342.007568359375,0,87.36145782470703,82.08301544189453,302,2329,302_2329,test
6,362,412,606000.0,4660325.0,370.0318603515625,5.6142473220825195,801.5609741210938,512.9570922851562,2395.4384765625,0,88.7715072631836,89.2195816040039,303,2330,303_2330,train
7,335,607,610875.0,4661000.0,370.8270568847656,9.411806106567383,2084.6162109375,469.7073669433594,3980.34228515625,0,79.66175842285156,81.41023254394531,305,2330,305_2330,train
8,470,413,606025.0,4657625.0,325.3600158691406,5.232520580291748,25.0,579.8706665039062,583.630859375,0,56.20906448364258,60.26890182495117,303,2328,303_2328,train
9,263,596,610600.0,4662800.0,349.14117431640625,3.3709545135498047,1250.0,581.4851684570312,3251.5380859375,1,65.2806625366211,71.53669738769531,305,2331,305_2331,train
10,332,762,614750.0,4661075.0,290.6679992675781,3.890850067138672,279.50848388671875,500.0,725.430908203125,1,58.552513122558594,52.857887268066406,307,2330,307_2330,test
11,364,415,606075.0,4660275.0,367.1520080566406,3.27744197845459,850.0,531.5072631835938,2421.001953125,0,93.44511413574219,82.6202621459961,303,2330,303_2330,train
12,79,647,611875.0,4667400.0,282.4305725097656,10.580487251281738,525.5949096679688,509.9019470214844,536.7727661132812,1,47.080841064453125,40.409873962402344,305,2333,305_2333,test
13,242,698,613150.0,4663325.0,342.4960021972656,8.394173622131348,1098.294189453125,638.8466186523438,2683.39794921875,1,58.2481575012207,46.997535705566406,306,2331,306_2331,train
14,263,574,610050.0,4662800.0,345.87060546875,1.918512225151062,700.0,784.6177368164062,2701.851318359375,1,67.31407928466797,77.32156372070312,305,2331,305_2331,train
15,316,522,608750.0,4661475.0,348.0560302734375,2.3342225551605225,1226.02001953125,602.0797119140625,1930.8353271484375,0,95.33155822753906,90.62682342529297,304,2330,304_2330,train
16,447,406,605850.0,4658200.0,349.3280029296875,6.149170398712158,502.4937744140625,250.0,1144.8253173828125,0,75.20166015625,76.98915100097656,302,2329,302_2329,test
17,465,469,607425.0,4657750.0,317.4520263671875,2.562669277191162,626.996826171875,795.6915283203125,866.7467651367188,0,91.54332733154297,79.64025115966797,303,2328,303_2328,train
18,410,531,608975.0,4659125.0,321.5840148925781,1.971675992012024,2136.147216796875,494.9747619628906,2917.297607421875,0,95.80538177490234,95.24668884277344,304,2329,304_2329,train
19,471,391,605475.0,4657600.0,332.08203125,4.674133777618408,55.90169906616211,596.343017578125,1017.6566162109375,0,70.31021118164062,61.101768493652344,302,2328,302_2328,train
20,294,510,608450.0,4662025.0,338.75201416015625,0.632614254951477,612.8825073242188,661.9100952148438,1359.4576416015625,0,98.73477172851562,94.53392791748047,304,2331,304_2331,train
21,675,785,615325.0,4652500.0,302.4840087890625,1.1146236658096313,3132.98974609375,106.0660171508789,6588.72119140625,1,54.65183639526367,53.04339599609375,307,2326,307_2326,train
22,477,332,604000.0,4657450.0,353.5240173339844,4.510761260986328,820.0609741210938,427.9310607910156,2206.3828125,0,87.37503051757812,97.67333221435547,302,2328,302_2328,train
23,272,559,609675.0,4662575.0,345.4139099121094,5.5948262214660645,395.2846984863281,620.9871215820312,2347.605224609375,1,62.16724395751953,63.60810089111328,304,2331,304_2331,train
24,170,624,611300.0,4665125.0,311.4630126953125,3.7617900371551514,1133.578369140625,502.4937744140625,2749.6591796875,1,64.7334976196289,69.2160415649414,305,2332,305_2332,train
25,411,518,608650.0,4659100.0,320.90802001953125,2.384369373321533,2117.929443359375,763.2168579101562,2682.46630859375,0,95.23126220703125,95.15963745117188,304,2329,304_2329,train
26,387,501,608225.0,4659700.0,342.78460693359375,11.016739845275879,2294.695068359375,735.6969604492188,2962.7900390625,0,77.96652221679688,76.56669616699219,304,2329,304_2329,train
27,463,332,604000.0,4657800.0,361.14801025390625,2.1144227981567383,1070.0467529296875,583.630859375,2348.536865234375,0,95.77114868164062,80.68846130371094,302,2328,302_2328,train
28,472,417,606125.0,4657575.0,326.47601318359375,6.454620361328125,55.90169906616211,625.4998168945312,477.62432861328125,0,53.689849853515625,59.176597595214844,303,2328,303_2328,train
29,294,525,608825.0,4662025.0,344.656005859375,4.512392520904541,781.0249633789062,667.0831909179688,1688.564453125,0,90.97521209716797,100.0,304,2331,304_2331,train
30,442,468,607400.0,4658325.0,324.8927001953125,1.316533088684082,1171.80419921875,579.8706665039062,1364.0472412109375,0,97.36693572998047,87.59617614746094,303,2329,303_2329,test
31,538,287,602875.0,4655925.0,373.4659118652344,5.749255180358887,2046.03271484375,279.50848388671875,3286.715576171875,0,77.47691345214844,81.7701644897461,301,2327,301_2327,train
32,324,430,606450.0,4661275.0,349.7960205078125,1.2216497659683228,276.134033203125,772.1722412109375,1358.537841796875,0,95.56787109375,94.01866149902344,303,2330,303_2330,train
33,283,747,614375.0,4662300.0,311.18402099609375,3.413728952407837,930.3897094726562,279.50848388671875,1250.9996337890625,0,82.14796447753906,68.1931381225586,307,2331,307_2331,test
34,426,428,606400.0,4658725.0,338.8254089355469,5.036343574523926,1140.449462890625,570.6356201171875,1500.8331298828125,0,89.92731475830078,80.29927062988281,303,2329,303_2329,test
35,418,374,605050.0,4658925.0,375.8680114746094,8.409478187561035,1364.2763671875,215.05813598632812,2202.271484375,0,68.93395233154297,71.15753173828125,302,2329,302_2329,test
36,276,557,609625.0,4662475.0,347.260009765625,2.089545249938965,424.2640686035156,673.1456298828125,2314.357421875,1,67.07463836669922,62.947235107421875,304,2331,304_2331,train
37,533,283,602775.0,4656050.0,375.4800109863281,2.26906156539917,2079.813720703125,150.0,3358.6640625,0,77.96187591552734,84.15827941894531,301,2328,301_2328,train
38,392,535,609075.0,4659575.0,335.9720153808594,3.9128057956695557,2351.196533203125,141.42135620117188,3319.356201171875,0,74.24545288085938,77.3250503540039,304,2329,304_2329,train
